finagle,fi'neigl,v achieve something by means of trickery or devious methods,"v. 欺骗, 哄骗, 欺瞒",v:100,,,,0,30928,i:finagling/p:finagled/3:finagles/d:finagled/s:finagles,,
Finagle's law,,,[网络] 菲纳格定理；菲纳格定律,,,,,0,0,,,
finagled,fəˈneɪgəld,v achieve something by means of trickery or devious methods,v. 欺骗( finagle的过去式和过去分词 ); 哄骗; 欺瞒; 使用欺骗诡诈手段,,,,,0,0,1:pd/0:finagle,,
finagler,,n. a deceiver who uses crafty misleading methods,n. 骗子\n[法] 骗子,,,,,0,0,s:finaglers,,
finaglers,,,骗子,,,,,0,0,0:finagler/1:s,,
finagles,fəˈneɪgəlz,v achieve something by means of trickery or devious methods,v. 欺骗( finagle的第三人称单数 ); 哄骗; 欺瞒; 使用欺骗诡诈手段,,,,,0,0,1:3/0:finagle,,
finagling,fəˈneɪgəlɪŋ,v achieve something by means of trickery or devious methods,v. 欺骗( finagle的现在分词 ); 哄骗; 欺瞒; 使用欺骗诡诈手段,,,,,0,0,0:finagle/1:i,,
finaglings,fɪ'neɪg(ə)l,,vt. 欺瞒；哄骗\nvi. 欺瞒；哄骗,,,,,0,0,,,
Finaguayac,,,[地名] 菲纳瓜亚克 ( 关岛 ),,,,,0,0,,,
finaid,,,[网络] 金资讯,,,,,0,0,,,
finaid.org,,,[网络] 资助网；组织,,,,,0,0,,,
Finajet,,,去甲雄三烯醇酮醋酸酯,,,,,0,0,,,
final,'fainl,n. the final match between the winners of all previous matches in an elimination tournament\ns. conclusive in a process or progression\ns. not to be altered or undone,"n. 期末考试, 结局, 决赛\na. 最后的, 终极的, 决定性的",j:82/n:18,5,1,zk gk cet4 ky toefl ielts,778,887,s:finals,,
final (-stage) reheater,,,级再热器,,,,,0,0,,,
final (-stage) superheater,,,级过热器,,,,,0,0,,,
final acceptance,,,最后验收,,,,,0,0,,,
final acceptance line,,,最终验收线,,,,,0,0,,,
final acceptance test,,,最终验收试验,,,,,0,0,,,
final acceptance test system,,,最终验收测试系统,,,,,0,0,,,
final acceptance trial,,,"最后交接试航,最后交货试验",,,,,0,0,,,
final acceptance trials,,,un. 最后交船试航\n[网络] 最后交接试航最后交货试验,,,,,0,0,,,
final account,,,"[经] 决算帐户, 竣工结算",,,,,0,0,,,
final account management,,,决算管理,,,,,0,0,,,
final account of project,,,工程决算,,,,,0,0,,,
final account of state revenue and expenditure,,,[财政] 国家决算,,,,,0,0,,,
final accounting of revenue and expenditure,,,收支决算,,,,,0,0,,,
final accounting statements,,,会计决算报表,,,,,0,0,,,
final accounts,,,[法] 决算,,,,,0,0,,,
final accounts of completed project,,,竣工决算,,,,,0,0,,,
final accounts of state revenue and expenditure,,,国家决算,,,,,0,0,,,
final acid separator,,,最终酸分离器,,,,,0,0,,,
final act,,,"[法] 最后议定书, 最后议决书",,,,,0,0,,,
final act of the international conference,,,国际会议蒇事文件,,,,,0,0,,,
FINAL ACTION,,,终局决定书,,,,,0,0,,,
final actuation time,,,[电] 最后致动时间,,,,,0,0,,,
final address,,,[计] 最终地址,,,,,0,0,,,
final address register,,,"[计] 最后地址寄存器, 终地址寄存",,,,,0,0,,,
final adjudication,,,[法] 终审判决,,,,,0,0,,,
final adjustment,,,最后调节,,,,,0,0,,,
final administrative act,,,终局行政行为,,,,,0,0,,,
final administrative decision,,,[网络] 行政终局裁决；终局判决；终局的,,,,,0,0,,,
final aftershock,,,最终余震,,,,,0,0,,,
final age,,,伐期龄,,,,,0,0,,,
final age of maximum forest net income,,,森林纯收入最大伐期龄,,,,,0,0,,,
final age of the maximum average value production,,,材价最大伐期龄,,,,,0,0,,,
final age of the maximum average volume production,,,材积最大伐期龄,,,,,0,0,,,
final age of the maximum forest rent,,,森林纯利最大伐期龄,,,,,0,0,,,
final agreement,,,"[法] 最后协议, 最后协定",,,,,0,0,,,
final alignment,,,[化] 最终对准; 最终找准,,,,,0,0,,,
final amplifier,,,[电] 最后控制元件,,,,,0,0,,,
final analysis,,, 致命恋人,,,,,0,0,,,
final and binding,,,[网络] 最终与约束性；最终与有约束力；最终的有约束力的,,,,,0,0,,,
final anneal,,,un. 最终退火,,,,,0,0,,,
final anode,,,最后阳极,,,,,0,0,,,
final anode voltage,,,末级阳极电压,,,,,0,0,,,
final appeal,,,"[法] 最后批准, 最后通过",,,,,0,0,,,
final appearance,,,[网络] 最终外观；最终外观网络英语资源；最后出现,,,,,0,0,,,
final application,,,最终请求,,,,,0,0,,,
final appoach,,,最后进场,,,,,0,0,,,
final approach,,,最后进场;最终进场,,,,,0,0,,,
final approach (fna),,,最后进场;进场航线第五边,,,,,0,0,,,
final approach altitude,,,最后进场高度,,,,,0,0,,,
final approach and takeoff area,,,最后进场起飞区,,,,,0,0,,,
final approach and takeoff area (fato),,,最后进场起飞区,,,,,0,0,,,
final approach course,,,【航空学】着陆接地前航向,,,,,0,0,,,
final approach fix,,,【航空学】最后进场点，第五边进入点,,,,,0,0,,,
final approach fix (faf),,,最后进场定点,,,,,0,0,,,
final approach gate,,,最后进场点,,,,,0,0,,,
final approach phase,,,第五边进场阶段,,,,,0,0,,,
final approach point,,,最后进场点,,,,,0,0,,,
final approach point (fap),,,最后进场点,,,,,0,0,,,
final approach segment,,,最后进场段,,,,,0,0,,,
final approval,,,[经] 最后核准,,,,,0,0,,,
final arbitration,,,终局仲裁,,,,,0,0,,,
final argument,,,[网络] 最后陈述；最后辩论阶段；最终论证,,,,,0,0,,,
final arrangements,,, [电影]压轴好戏,,,,,0,0,,,
final arrival notice of ship,,,[水运] 船舶到港确报,,,,,0,0,,,
final articles,,,[法] 最后条款,,,,,0,0,,,
final ascent,,,最后上升,,,,,0,0,,,
final assault party,,,主峰突击队,,,,,0,0,,,
final assembly,,,总装(配),,,,,0,0,,,
final assembly drawing,,,总组装图,,,,,0,0,,,
final assembly schedule,,,[网络] 最终组装排程；之最终组装排程；装配计划,,,,,0,0,,,
final assembly schedule (fas),,,最终装配日程表,,,,,0,0,,,
final assembly schedule(fas),,,最终装配日程表,,,,,0,0,,,
final assessment,,,最终评定,,,,,0,0,,,
final audit,,,"[经] 期末审计(查), 年终审计(查)",,,,,0,0,,,
final authority,,,[网络] 最终权威；最终权力；最后的权力,,,,,0,0,,,
final average remuneration,,,最后平均薪资报酬,,,,,0,0,,,
final award,,,[经] 终局性仲裁裁决,,,,,0,0,,,
final bake,,,[医] 末烘,,,,,0,0,,,
final balance,,,[经] 最后结余,,,,,0,0,,,
final ballot,,,[法] 决选投票,,,,,0,0,,,
final bearing,,,[网络] 终端导标；最终方位角；最后航向,,,,,0,0,,,
final belting,,,最后拖光,,,,,0,0,,,
final beneficiary,,,最终受益人,,,,,0,0,,,
final bill of goods,,,un. 最终货物单据,,,,,0,0,,,
final bit,,,最终位元,,,,,0,0,,,
final blade,,,末级长叶片,,,,,0,0,,,
final blade length,,,级叶片长度,,,,,0,0,,,
final blading,,,(平地机)最后刮平,,,,,0,0,,,
final blage,,,[网络] 末叶片,,,,,0,0,,,
final blanking,,,"最后消隐,后加消隐",,,,,0,0,,,
final blast,,,最终鼓风,,,,,0,0,,,
final bleaching,,,终漂,,,,,0,0,,,
final blow,,,吹成(吹制玻璃器皿时最后一次吹气),,,,,0,0,,,
final boiling point,,,[化] 终馏点; 终沸点; 干点,,,,,0,0,,,
final boost,,,最后增压,,,,,0,0,,,
final branch circuit,,,[网络] 最后分支电路,,,,,0,0,,,
final breaking,,,[矿业] 最终破碎,,,,,0,0,,,
final budget,,,[经] 核定预算,,,,,0,0,,,
final building cost,,,工程决算,,,,,0,0,,,
final calibration report,,,最终校正报告,,,,,0,0,,,
final call,,,最后催缴股款,,,,,0,0,,,
final callus,,,最后胼胝体,,,,,0,0,,,
final capstan,,,成品卷筒,,,,,0,0,,,
final carrier,,,[经] 最后承运人,,,,,0,0,,,
final carry digit,,,[计] 终端进位数,,,,,0,0,,,
final cash settlements,,,un. 最后现款偿金,,,,,0,0,,,
final cast,,,[医] 终模型,,,,,0,0,,,
final catastrophic failure,,,最终毁坏性破裂,,,,,0,0,,,
final cause,,,[医] 最终原因,,,,,0,0,s:final causes,,
final causes,,,n. 终极因；目的论,,,,,0,0,0:final cause/1:s,,
final certificate,,,最终品质证明书,,,,,0,0,,,
final certificate of quality,,,最终品质证明书,,,,,0,0,,,
final channel,,,末态道,,,,,0,0,,,
final chart scale,,,成图比例尺,,,,,0,0,,,
final check,,,[化] 最后检查; 最终检查,,,,,0,0,,,
final check picture,,,最后核对图像,,,,,0,0,,,
final checking,,,最后检验,,,,,0,0,,,
final circuit,,,终接电路,,,,,0,0,,,
final clarification,,,最后澄清,,,,,0,0,,,
final clarifier,,,端澄清器,,,,,0,0,,,
final class,,,[网络] 最终类；类；终结类,,,,,0,0,,,
final classes,,,[网络] 最终课,,,,,0,0,,,
final clause,,,"[法] 最终条款, 最后条款",,,,,0,0,,,
final clauses,,,最后条款,,,,,0,0,,,
final cleaner,,,第二滤清器,,,,,0,0,,,
final cleaning,,,最终精选,,,,,0,0,,,
final cleanup,,,竣工清理,,,,,0,0,,,
final clearance,,, 结关放行,,,,,0,0,,,
final clearing,,,"主伐,清理伐(后伐)",,,,,0,0,,,
final clearing statement,,,[网络] 最后结算表；被告人最后陈述,,,,,0,0,,,
final climatic community,,,最后气候的群落,,,,,0,0,,,
final climber,,,突击主峰队员,,,,,0,0,,,
final climbout speed,,,起飞末段爬高速率,,,,,0,0,,,
final closing bracket,,,[计] 最终闭括号,,,,,0,0,,,
final closing of hatches,,,[网络] 末次盖舱,,,,,0,0,,,
final closure,,,终关闭，退役,,,,,0,0,,,
final club,,,[网络] 期末俱乐部,,,,,0,0,,,
final clubs,,,[网络] 终极俱乐部；最后的俱乐部；最后俱乐部,,,,,0,0,,,
final coating,,,最后涂层,,,,,0,0,,,
final coating cement,,,最后涂的水泥层,,,,,0,0,,,
final collector,,,末级集电极,,,,,0,0,,,
